"date","n","avg"
2018-05-29,1889,1607.28571428571
2018-05-30,2729,1650.14285714286
2018-05-31,2328,1552.28571428571
2018-06-01,2481,1563
2018-06-04,3330,1822.42857142857
2018-06-05,2699,1938.14285714286
2018-06-06,2389,1889.57142857143
2018-06-07,2720,1945.57142857143
2018-06-08,2595,1961.85714285714
2018-06-11,3186,1941.28571428571
2018-06-12,2307,1885.28571428571
2018-06-13,2937,1963.57142857143
2018-06-14,2547,1938.85714285714
2018-06-15,2053,1861.42857142857
2018-06-16,58,1869.71428571429
2018-06-18,2826,1818.28571428571
2018-06-19,2307,1818.28571428571
2018-06-20,2232,1717.57142857143
2018-06-21,2638,1730.57142857143
2018-06-22,2142,1743.28571428571
2018-06-23,9,1736.28571428571
2018-06-24,1,1736.42857142857
2018-06-25,3083,1773.14285714286
2018-06-26,2193,1756.85714285714
2018-06-27,2328,1770.57142857143
2018-06-28,2939,1813.57142857143
2018-06-29,2339,1841.71428571429
2018-07-01,22,1843.42857142857
2018-07-02,2736,1793.85714285714
2018-07-03,2707,1867.28571428571
2018-07-04,2396,1877
2018-07-05,2525,1817.85714285714
2018-07-06,2144,1790
2018-07-09,2801,1796.14285714286
2018-07-10,2422,1755.42857142857
2018-07-11,2460,1764.57142857143
2018-07-12,2020,1692.42857142857
2018-07-13,2217,1702.85714285714
2018-07-16,2850,1709.85714285714
2018-07-17,2412,1708.42857142857
2018-07-18,2753,1750.28571428571
2018-07-19,2456,1812.57142857143
2018-07-20,2317,1826.85714285714
2018-07-22,328,1873.71428571429
2018-07-23,3019,1897.85714285714
2018-07-24,2327,1885.71428571429
2018-07-25,2798,1892.14285714286
2018-07-26,2175,1852
2018-07-27,2297,1849.14285714286
2018-07-30,2795,1770.28571428571
2018-07-31,2416,1783
2018-08-01,2580,1751.85714285714
2018-08-02,2460,1792.57142857143
2018-08-03,2419,1810
2018-08-04,3,1810.42857142857
2018-08-06,2536,1773.42857142857
2018-08-07,2377,1767.85714285714
2018-08-08,2907,1814.57142857143
2018-08-09,2619,1837.28571428571
2018-08-10,2461,1843.28571428571
2018-08-13,2913,1896.71428571429
2018-08-14,2831,1961.57142857143
2018-08-15,2477,1900.14285714286
2018-08-16,2265,1849.57142857143
2018-08-17,2471,1851
2018-08-20,3755,1971.28571428571
2018-08-21,2687,1950.71428571429
2018-08-22,2323,1928.71428571429
2018-08-23,2264,1928.57142857143
2018-08-24,1883,1844.57142857143
2018-08-25,1859,2110.14285714286
2018-08-27,4,1574.28571428571
2018-08-28,2614,1563.85714285714
2018-08-29,2126,1535.71428571429
2018-08-30,2234,1531.42857142857
2018-08-31,2253,1584.28571428571
2018-09-01,1256,1498.14285714286
2018-09-03,2889,1910.28571428571
2018-09-04,2722,1925.71428571429
2018-09-05,2220,1939.14285714286
2018-09-06,2535,1982.14285714286
2018-09-07,2057,1954.14285714286
2018-09-08,117,1791.42857142857
2018-09-10,2935,1798
2018-09-11,2516,1768.57142857143
2018-09-12,2037,1742.42857142857
2018-09-13,2407,1724.14285714286
2018-09-14,2611,1803.28571428571
2018-09-15,2,1786.85714285714
2018-09-16,1,1787
2018-09-17,2926,1785.71428571429
2018-09-18,2662,1806.57142857143
2018-09-19,2498,1872.42857142857
2018-09-20,2596,1899.42857142857
